source_click_dt,clientType,source,total_user_series,ep2_same_day_users,ep10_same_day_users,ep20_same_day_users,ep30_same_day_users,ep50_same_day_users,ep2_3day_users,ep10_3day_users,ep20_3day_users,ep30_3day_users,ep50_3day_users
2026-01-25,both,from_undo_cancellation_screen,12,5,0,1,0,0,5,1,2,1,0
2026-01-26,Android,series_widget_grid_2,200820,115154,69423,57571,50741,30873,117785,73797,62932,57319,37083
2026-01-26,Android,from_mlt,74983,43408,27927,24228,21479,12419,44678,30123,27059,24825,15479
2026-01-26,Android,interstitials,60338,25216,15484,13483,12350,6854,26418,16909,15180,14314,8551
2026-01-26,Android,series_widget_grid_3,105845,39277,26227,23515,21258,13974,40340,27872,25757,24064,16922
2026-01-26,Android,continue_watching,158714,81321,73540,69647,66731,49552,82971,75962,73299,71861,55843
2026-01-26,Android,hero_widget,61640,41799,30297,28425,26782,18202,42651,31666,30377,29279,20867
2026-01-26,Android,search_results,96313,50235,27342,21012,18628,11754,51228,28697,22436,20386,13607
2026-01-26,ios,search_landing_page,1398,544,380,412,396,315,563,403,447,444,378
2026-01-26,ios,search_results,7776,3835,2489,2356,2149,1586,3906,2593,2517,2375,1860
2026-01-26,ios,series_widget_grid_3,4593,1720,1182,1147,1038,752,1787,1283,1294,1218,952
2026-01-26,Android,from_notifications,14163,4538,2255,1790,1482,763,4667,2424,2025,1774,1025
2026-01-26,ios,series_widget_grid_2,7636,3666,2323,2041,1824,1113,3769,2501,2288,2149,1429
2026-01-26,Android,search_landing_page,19993,6519,4776,4618,4362,3263,6693,5001,4916,4717,3705
2026-01-26,Android,series_landscape_carousel,2552,1817,1436,1309,1201,838,1873,1537,1447,1381,1013
2026-01-26,ios,from_mlt,1564,1001,641,548,495,315,1021,685,612,564,380
2026-01-26,Android,for_you_feed,12877,8319,6508,5917,5364,3449,8603,6948,6494,6046,4120
2026-01-26,Android,ranking_page,3359,2131,1477,1357,1159,803,2198,1559,1461,1283,939
2026-01-26,Android,genre_page,7564,4775,2699,2275,1912,1270,4908,2875,2496,2144,1477
2026-01-26,ios,interstitials,1775,855,583,563,523,342,888,628,625,595,431
2026-01-26,ios,genre_page,433,256,161,141,129,102,272,177,166,159,134
2026-01-26,ios,ranking_page,315,184,130,130,115,84,197,146,149,142,120
2026-01-26,Android,from_manage_subscription,100,52,33,30,23,19,53,34,31,24,20
2026-01-26,ios,from_undo_cancellation_screen,16,5,2,3,2,2,5,2,3,2,2
2026-01-26,Android,series_widget_horizontal,2,0,0,0,0,0,0,0,0,0,0
2026-01-26,both,hero_widget,61640,41799,30297,28425,26782,18202,42651,31666,30377,29279,20867
2026-01-26,both,interstitials,62113,26071,16067,14046,12873,7196,27306,17537,15805,14909,8982
2026-01-26,both,series_widget_grid_3,110434,40997,27409,24662,22296,14726,42127,29155,27051,25282,17874
2026-01-26,both,series_widget_grid_2,208452,118820,71746,59612,52565,31986,121554,76298,65220,59468,38512
2026-01-26,both,from_mlt,76547,44409,28568,24776,21974,12734,45699,30808,27671,25389,15859
2026-01-26,both,continue_watching,158714,81321,73540,69647,66731,49552,82971,75962,73299,71861,55843
2026-01-26,both,search_results,104076,54070,29831,23368,20777,13340,55134,31290,24953,22761,15467
2026-01-26,both,ranking_page,3673,2315,1607,1487,1274,887,2395,1705,1610,1425,1059
2026-01-26,both,search_landing_page,21388,7063,5156,5030,4758,3578,7256,5404,5363,5161,4083
2026-01-26,both,from_notifications,14163,4538,2255,1790,1482,763,4667,2424,2025,1774,1025
2026-01-26,both,genre_page,7997,5031,2860,2416,2041,1372,5180,3052,2662,2303,1611
2026-01-26,both,for_you_feed,12877,8319,6508,5917,5364,3449,8603,6948,6494,6046,4120
2026-01-26,both,series_landscape_carousel,2552,1817,1436,1309,1201,838,1873,1537,1447,1381,1013
2026-01-26,both,from_manage_subscription,100,52,33,30,23,19,53,34,31,24,20
2026-01-26,both,from_undo_cancellation_screen,16,5,2,3,2,2,5,2,3,2,2
2026-01-26,both,series_widget_horizontal,2,0,0,0,0,0,0,0,0,0,0
2026-01-27,Android,for_you_feed,13466,8725,6868,6197,5583,3679,9023,7333,6801,6297,4426
2026-01-27,Android,series_widget_grid_2,201542,116381,70689,58363,51452,31496,119219,75227,64093,58317,37973
2026-01-27,Android,continue_watching,160534,81779,74764,71128,68384,51184,83445,77172,74753,73536,57700
2026-01-27,Android,interstitials,60001,24040,14669,12715,11606,6888,25255,16098,14363,13545,8606
2026-01-27,Android,from_mlt,74777,43192,27803,24056,21251,12644,44480,30050,26937,24663,15808
2026-01-27,Android,hero_widget,58856,39533,28259,26469,24900,16642,40353,29648,28308,27277,19142
2026-01-27,Android,series_widget_grid_3,101991,38826,25890,23326,21099,14209,39928,27524,25565,23979,17189
2026-01-27,Android,search_results,91711,48674,26424,20076,17777,11336,49588,27743,21465,19495,13100
2026-01-27,Android,search_landing_page,18959,6195,4585,4496,4236,3138,6371,4820,4786,4616,3575
2026-01-27,ios,from_mlt,1856,1200,733,628,560,362,1219,784,695,643,449
2026-01-27,Android,genre_page,7164,4526,2582,2220,1881,1259,4643,2770,2461,2143,1519
2026-01-27,ios,search_landing_page,1464,600,431,464,446,368,623,463,510,502,432
2026-01-27,Android,from_notifications,14084,4495,2209,1739,1436,752,4677,2422,1983,1716,986
2026-01-27,ios,search_results,8040,3946,2559,2437,2257,1624,4022,2675,2605,2481,1889
2026-01-27,ios,series_widget_grid_2,7956,3774,2394,2173,1927,1232,3877,2584,2429,2234,1524
2026-01-27,ios,series_widget_grid_3,4768,1740,1233,1180,1082,798,1812,1330,1323,1271,1008
2026-01-27,Android,ranking_page,3215,1987,1366,1278,1055,728,2042,1457,1394,1185,877
2026-01-27,Android,series_landscape_carousel,2607,1808,1401,1296,1208,806,1859,1483,1411,1362,988
2026-01-27,ios,interstitials,1832,847,579,544,511,351,885,622,610,588,442
2026-01-27,ios,genre_page,477,299,188,170,154,120,305,203,188,176,140
2026-01-27,ios,ranking_page,340,222,141,139,119,101,231,168,173,153,133
2026-01-27,Android,from_manage_subscription,92,43,27,26,22,13,43,27,26,23,14
2026-01-27,ios,from_undo_cancellation_screen,12,6,5,4,3,2,6,5,5,4,2
2026-01-27,both,from_notifications,14084,4495,2209,1739,1436,752,4677,2422,1983,1716,986
2026-01-27,both,continue_watching,160534,81779,74764,71128,68384,51184,83445,77172,74753,73536,57700
2026-01-27,both,series_widget_grid_2,209490,120155,73083,60536,53379,32728,123096,77811,66522,60551,39497
2026-01-27,both,hero_widget,58856,39533,28259,26469,24900,16642,40353,29648,28308,27277,19142
2026-01-27,both,search_results,99741,52620,28983,22513,20034,12960,53610,30418,24070,21976,14989
2026-01-27,both,for_you_feed,13466,8725,6868,6197,5583,3679,9023,7333,6801,6297,4426
2026-01-27,both,interstitials,61833,24887,15248,13259,12117,7239,26140,16720,14973,14133,9048
2026-01-27,both,series_widget_grid_3,106755,40566,27123,24506,22181,15007,41740,28854,26888,25250,18197
2026-01-27,both,from_mlt,76633,44392,28536,24684,21811,13006,45699,30834,27632,25306,16257
2026-01-27,both,search_landing_page,20419,6795,5016,4960,4682,3506,6994,5283,5296,5118,4007
2026-01-27,both,genre_page,7641,4825,2770,2390,2035,1379,4948,2973,2649,2319,1659
2026-01-27,both,ranking_page,3555,2209,1507,1417,1174,829,2273,1625,1567,1338,1010
2026-01-27,both,series_landscape_carousel,2607,1808,1401,1296,1208,806,1859,1483,1411,1362,988
2026-01-27,both,from_manage_subscription,92,43,27,26,22,13,43,27,26,23,14
2026-01-27,both,from_undo_cancellation_screen,12,6,5,4,3,2,6,5,5,4,2
2026-01-28,Android,series_widget_grid_3,97547,36249,23961,21487,19312,12209,37203,25430,23526,21908,14906
2026-01-28,Android,from_mlt,68667,40041,25439,21769,19233,11595,41361,27677,24749,22735,14724
2026-01-28,ios,search_results,7111,3654,2365,2252,2047,1401,3746,2482,2389,2265,1654
2026-01-28,Android,search_results,87490,45913,24929,18946,16787,10327,46892,26231,20354,18543,12130
